Date,US_ST_ROT_01_RUI
1991/01/02,€8000.00
1991/01/03,€8000.00
1991/01/04,€8000.00
1991/01/07,€8000.00
1991/01/08,€8000.00
1991/01/09,€8000.00
1991/01/10,€8000.00
1991/01/11,€8000.00
1991/01/14,€8000.00
1991/01/15,€8000.00
1991/01/16,€8000.00
1991/01/17,€8000.00
1991/01/18,€8000.00
1991/01/21,€8000.00
1991/01/22,€8000.00
1991/01/23,€8000.00
1991/01/24,€8000.00
1991/01/25,€8000.00
1991/01/28,€8000.00
1991/01/29,€8000.00
1991/01/30,€8000.00
1991/01/31,€8000.00
1991/02/01,€8027.03
1991/02/04,€8135.29
1991/02/05,€8226.26
1991/02/06,€8257.70
1991/02/07,€8113.57
1991/02/08,€8139.72
1991/02/11,€8234.72
1991/02/12,€8291.87
1991/02/13,€8344.27
1991/02/14,€8256.22
1991/02/15,€8341.68
1991/02/19,€8404.56
1991/02/20,€8404.67
1991/02/21,€8453.72
1991/02/22,€8552.25
1991/02/25,€8563.59
1991/02/26,€8484.18
1991/02/27,€8461.28
1991/02/28,€8505.14
1991/03/01,€8548.74
1991/03/04,€8599.52
1991/03/05,€8787.94
1991/03/06,€8833.96
1991/03/07,€8952.26
1991/03/08,€8972.36
1991/03/11,€8812.14
1991/03/12,€8589.58
1991/03/13,€8749.48
1991/03/14,€8720.74
1991/03/15,€8665.10
1991/03/18,€8725.60
1991/03/19,€8762.76
1991/03/20,€8924.06
1991/03/21,€8864.86
1991/03/22,€8902.46
1991/03/25,€8941.13
1991/03/26,€9158.62
1991/03/27,€9142.63
1991/03/28,€9123.61
1991/04/01,€9043.35
1991/04/02,€9212.00
1991/04/03,€9308.70
1991/04/04,€9286.33
1991/04/05,€9242.14
1991/04/08,€9220.86
1991/04/09,€9163.28
1991/04/10,€9078.90
1991/04/11,€9188.56
1991/04/12,€9267.21
1991/04/15,€9220.64
1991/04/16,€9292.92
1991/04/17,€9397.98
1991/04/18,€9224.26
1991/04/19,€9092.34
1991/04/22,€9072.25
1991/04/23,€9105.85
1991/04/24,€9144.31
1991/04/25,€9064.14
1991/04/26,€9023.52
1991/04/29,€8832.94
1991/04/30,€8687.63
1991/05/01,€8785.16
1991/05/02,€8886.39
1991/05/03,€8881.86
1991/05/06,€8823.30
1991/05/07,€8776.73
1991/05/08,€8853.77
1991/05/09,€8982.01
1991/05/10,€8895.58
1991/05/13,€8842.96
1991/05/14,€8686.95
1991/05/15,€8566.82
1991/05/16,€8607.22
1991/05/17,€8579.89
1991/05/20,€8518.09
1991/05/21,€8613.60
1991/05/22,€8692.14
1991/05/23,€8700.57
1991/05/24,€8749.83
1991/05/28,€8865.54
1991/05/29,€8990.65
1991/05/30,€9012.91
1991/05/31,€9013.66
1991/06/03,€9016.80
1991/06/04,€8990.55
1991/06/05,€8891.26
1991/06/06,€8815.31
1991/06/07,€8747.10
1991/06/10,€8748.08
1991/06/11,€8789.56
1991/06/12,€8672.99
1991/06/13,€8740.30
1991/06/14,€8809.87
1991/06/17,€8823.55
1991/06/18,€8757.43
1991/06/19,€8679.43
1991/06/20,€8707.74
1991/06/21,€8690.02
1991/06/24,€8519.21
1991/06/25,€8473.40
1991/06/26,€8416.68
1991/06/27,€8542.33
1991/06/28,€8547.84
1991/07/01,€8720.49
1991/07/02,€8707.31
1991/07/03,€8634.17
