Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
1,ASX_Trend_Following,GWC-199805.au,Long,1996-11-11,open,1724.0,2.8945,1996-11-18,open,1724.0,2.8457,zero position,5,-0.0195,-97.33,0.0019,-0.0499,0.05,4990,6.6,0.0013,6.6,0.0013,25.0,0.005,24.65,0.005,0.0,4990.12,1,1,0,0,0,0.08916,0.00681
2,ASX_Trend_Following,GGM-199701.au,Long,1996-11-25,open,1476.0,3.0143,1996-12-02,open,1476.0,4.0795,reduce position,4,0.3504,1559.04,0.3602,-0.0047,0.042,4449,6.6,0.0015,6.6,0.0011,25.01,0.0056,30.26,0.005,0.0,4449.11,1,1,0,0,0,0.2952,0.03803
3,ASX_Trend_Following,KYC-201011.au,Long,1996-12-16,open,1761.0,2.7138,1996-12-30,open,1761.0,2.5671,zero position,8,-0.0568,-271.54,0.0133,-0.0493,0.0481,4779,6.6,0.0014,6.6,0.0015,24.21,0.0051,22.72,0.005,0.0,4779.0,1,1,0,0,0,0.23943,0.24103
4,ASX_Trend_Following,MMC-199812.au,Long,1996-12-09,open,1684.0,3.0251,1996-12-30,open,1684.0,2.9154,zero position,13,-0.0389,-197.93,0.0,-0.0414,0.05,5094,6.6,0.0013,6.6,0.0013,25.34,0.005,24.67,0.005,0.0,5094.27,1,1,0,0,0,0.10709,1.684
5,ASX_Trend_Following,ERA.au,Long,1996-12-23,open,884.0,5.7285,1997-01-20,open,884.0,5.5223,zero position,16,-0.0386,-195.48,0.0125,-0.0312,0.05,5064,6.6,0.0013,6.6,0.0014,25.19,0.005,24.53,0.005,0.0,5063.99,1,1,0,0,0,0.09355,1.19298
6,ASX_Trend_Following,GGM-199701.au,Long,1996-11-25,open,279.0,3.0143,1997-01-24,close,279.0,4.1591,end of data,15,0.3641,306.2,0.4099,-0.0047,0.0079,841,6.6,0.0078,6.6,0.0057,25.01,0.0297,5.83,0.005,0.0,840.99,1,1,0,0,0,0.0558,0.01232
7,ASX_Trend_Following,KUP-199805.au,Long,1996-12-30,open,3388.0,1.4975,1997-02-03,open,3388.0,1.3731,zero position,22,-0.0857,-434.67,0.0017,-0.0985,0.05,5074,6.6,0.0013,6.6,0.0014,25.24,0.005,23.38,0.005,0.0,5073.53,1,1,0,0,0,0.1372,0.04335
8,ASX_Trend_Following,MET-199712.au,Long,1997-01-06,open,127.0,39.7,1997-02-17,open,127.0,29.1535,zero position,28,-0.2683,-1352.61,0.0,-0.2947,0.0498,5042,6.6,0.0013,6.6,0.0018,25.4,0.005,18.61,0.005,0.0,5041.9,1,1,0,0,0,0.02622,0.11339
9,ASX_Trend_Following,AOG-200208.au,Long,1997-02-17,open,1769.0,1.5578,1997-03-03,open,1769.0,1.8915,reduce position,10,0.2094,577.12,0.2453,-0.0178,0.0261,2756,6.6,0.0024,6.6,0.002,26.27,0.0095,16.81,0.005,0.0,2755.75,1,1,0,0,0,0.13713,0.02209
10,ASX_Trend_Following,WHW-199908.au,Long,1997-01-28,open,2034.0,2.4225,1997-04-07,open,2034.0,2.0,zero position,41,-0.1482,-730.19,0.0485,-0.1827,0.05,4927,6.6,0.0013,6.6,0.0016,25.43,0.0052,20.44,0.005,142.38,4927.37,1,1,0,0,0,0.3989,0.15202
