Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,Comms,Slips,Dividends,SlipsOpen,SlipsClose,FxIn,FxOut,NetFX
00001,US_ST_ROT_01_RUI,AMGN,Long,1991/02/01,open,5,74.2213,1991/03/01,open,5,89.9793,reduce position,19,21.00%,€67.36,41.81%,-1.98%,3.98%,€321,€0.86,€3.08,€0.00,€1.91,€1.17,0.86430,0.86430,€0.00
00002,US_ST_ROT_01_RUI,MGR-199602,Long,1991/02/01,open,21,19.9358,1991/04/01,open,21,26.1713,zero position,39,31.17%,€112.80,46.72%,-2.19%,4.59%,€362,€0.86,€2.53,€0.36,€1.10,€1.43,0.86430,0.86430,€0.00
00003,US_ST_ROT_01_RUI,USHC-199607,Long,1991/03/01,open,4,38.8681,1991/04/01,open,4,52.3425,reduce position,20,33.88%,€45.53,39.57%,-2.23%,1.60%,€134,€1.72,€0.95,€0.43,€0.41,€0.54,0.86430,0.86430,€0.00
00004,US_ST_ROT_01_RUI,VC-199106,Long,1991/02/01,open,6,53.0336,1991/04/01,open,6,49.7254,zero position,39,-6.27%,(€17.25),1.35%,-6.19%,3.43%,€275,€0.86,€1.60,€0.65,€0.82,€0.78,0.86430,0.86430,€0.00
00005,US_ST_ROT_01_RUI,ALDC-199408,Long,1991/04/01,open,8,53.1598,1991/05/01,open,8,44.9896,zero position,22,-15.57%,(€57.24),12.63%,-19.11%,4.04%,€368,€0.86,€2.04,€0.00,€1.10,€0.94,0.86430,0.86430,€0.00
00006,US_ST_ROT_01_RUI,ETS-200603,Long,1991/04/01,open,7,36.1080,1991/05/01,open,7,36.0166,zero position,22,-0.93%,(€2.04),21.86%,-2.72%,2.39%,€218,€1.72,€1.31,€0.00,€0.65,€0.66,0.86430,0.86430,€0.00
00007,US_ST_ROT_01_RUI,ETS-200603,Long,1991/02/01,open,16,34.4781,1991/05/01,open,16,36.0166,zero position,61,4.31%,€20.53,27.62%,-3.56%,5.94%,€477,€0.86,€2.92,€0.00,€1.43,€1.50,0.86430,0.86430,€0.00
00008,US_ST_ROT_01_RUI,MCCS-199311,Long,1991/02/01,open,17,39.6189,1991/05/01,open,17,44.4911,zero position,61,12.27%,€71.43,28.10%,-1.25%,7.28%,€582,€0.86,€3.71,€0.59,€1.75,€1.97,0.86430,0.86430,€0.00
00009,US_ST_ROT_01_RUI,SNPX-199410,Long,1991/02/01,open,12,41.4995,1991/05/01,open,12,39.3815,zero position,61,-5.28%,(€22.71),24.10%,-7.23%,5.38%,€430,€0.86,€2.52,€0.00,€1.29,€1.23,0.86430,0.86430,€0.00
00010,US_ST_ROT_01_RUI,USHC-199607,Long,1991/02/01,open,8,37.2386,1991/05/01,open,8,45.9866,zero position,61,23.54%,€60.61,45.68%,-4.67%,3.27%,€257,€0.86,€1.74,€0.86,€0.79,€0.96,0.86430,0.86430,€0.00
00011,US_ST_ROT_01_RUI,ADBE,Long,1991/05/01,open,14,51.6553,1991/06/03,open,14,52.2179,zero position,22,0.97%,€6.06,6.96%,-14.34%,7.21%,€625,€0.86,€3.78,€0.00,€1.88,€1.90,0.86430,0.86430,€0.00
00012,US_ST_ROT_01_RUI,BMET-200709,Long,1991/05/01,open,8,26.3288,1991/06/03,open,8,28.9130,zero position,22,9.00%,€16.38,12.99%,-4.10%,2.09%,€182,€1.72,€1.15,€0.00,€0.54,€0.60,0.86430,0.86430,€0.00
00013,US_ST_ROT_01_RUI,BMET-200709,Long,1991/02/01,open,20,25.0758,1991/06/03,open,20,28.9130,zero position,83,15.13%,€65.59,24.62%,-12.27%,5.46%,€433,€0.86,€2.81,€0.00,€1.31,€1.50,0.86430,0.86430,€0.00
00014,US_ST_ROT_01_RUI,CRHEQ-200412,Long,1991/04/01,open,10,54.9203,1991/06/03,open,10,47.3575,zero position,44,-13.93%,(€66.11),2.42%,-24.89%,5.38%,€475,€0.86,€2.70,€0.00,€1.47,€1.23,0.86430,0.86430,€0.00
